EDU1CDL,21ST CENTURY DIGITAL LEARNERS 
POL3DPO,DOING POLITICS 
DRA4HNP,DRAMA HONOURS THESIS 
DRA4HON,DRAMA HONOURS THESIS 
DRA4HNJ,DRAMA HONOURS THESIS 
EDU4DR1,DRAMA SECONDARY CURRICULUM 1 
EDU4DR2,DRAMA SECONDARY CURRICULUM 2 
NWP105B,"DRAW AND USE SIMPLE MAPS, PLANS AND DRAWINGS "
ART1DRW,DRAWING 
PHE3DUB,DRUG USE AND ADDICTIVE BEHAVIOUR 
LST2DRU,"DRUGS, GOVERNANCE AND MODERN SOCIETY "
EDU3CC,EARLY CHILDHOOD CURRICULUM 
EDU3EI,EARLY INCLUSION 
EDU2ELE,EARLY LEARNING ENVIRONMENTS 
EDU2ELM,EARLY YEARS LITERACY & NUMERACY 
EDU3ELM,EARLY YEARS LITERACY & NUMERACY 
ANT2EAT,EATING AND DRINKING: ANTHROPOLOGICAL PERSPECTIVES 
GEN2EGE,ECOLOGICAL GENETICS AND EVOLUTION 
EEE3EGE,ECOLOGICAL GENETICS AND EVOLUTION 
EEE3PRJ,ECOLOGICAL GENETICS AND EVOLUTION RESEARCH PROJECT 
SCI2ECO,ECOLOGICAL SYSTEMS 
OED3TPD,ECOLOGIES OF OUTDOOR LEARNING 
BIO2ECO,ECOLOGY 
BIO1EEB,"ECOLOGY, EVOLUTION AND BIODIVERSITY "
ECM2IE,ECONOMETRICS 
FIN5EME,ECONOMETRICS OF FINANCIAL MARKETS 
ECO2EDC,ECONOMIC DEVELOPMENT AND POLICY 
ECO3EGS,ECONOMIC GROWTH AND STABILITY: THEORY AND EVIDENCE 
BUS1BUE,ECONOMIC ISSUES AND PUBLIC POLICY 
ECO3EAE,ECONOMICS AND ETHICS 
ECO3EIN,ECONOMICS OF INNOVATION 
EDU6TPA,EDD THESIS A 
EDU6THA,EDD THESIS A 
EDU6THB,EDD THESIS B 
EDU6TPB,EDD THESIS B 
CPW3EAP,EDITING AND PUBLISHING 
OED3ES,EDUCATION FOR SUSTAINABILITY 
NSG2EHP,EDUCATION IN HEALTH PROFESSIONAL PRACTICE 
NSM5EDU,EDUCATION IN NURSING AND MIDWIFERY 
OED3EO,EDUCATION IN THE OUTDOORS 
LAW5EDU,EDUCATION LAW AND ETHICS 
EDU4RMA,EDUCATION RESEARCH METHODS A 
EDU4TBP,EDUCATION THESIS 
EDU5EDL,EDUCATIONAL LEADERSHIP 
EDU5EIA,EDUCATIONAL RESEARCH ISSUES 
PHY3EPP,ELECTRODYNAMICS 
ELE5FDD,ELECTRONIC DESIGN AUTOMATION - VHDL AND FPGAS 
ELE3DDE,ELECTRONIC DESIGN AUTOMATION-TOOLS AND TECHNIQUE 
ELE5EDE,ELECTRONIC DESIGN EXERCISE 
ELE5MPA,ELECTRONIC ENGINEERING MAJOR PROJECT A 
ELE5MPB,ELECTRONIC ENGINEERING MAJOR PROJECT B 
EMS5EMP,ELEMENTS OF MASS PRODUCTION 
ELE3EMB,EMBEDDED PROCESSORS 
ELE5FEM,EMBEDDED PROCESSORS 
VET3ECC,EMERGENCY AND CRITICAL CARE 
CSE3ETI,EMERGING TOPICS IN INFORMATION TECHNOLOGY 
LAW5CLI,EMISSIONS TRADING LAW 
HIS1EPM,"EMPIRES, POWER AND THE MODERN WORLD: FOOD AS HISTORY "
DTN3EMP,EMPLOYABILITY IN NUTRITION 
PHE5EMD,EMPLOYMENT AND DISABILITY 
LAW3ELR,EMPLOYMENT AND LABOR RELATIONS LAW 
MGT5ERN,EMPLOYMENT RELATIONS 
MGT2EMR,EMPLOYMENT RELATIONS 
EDU1EL,EMPOWERING LEARNERS 
OCT4ECM,ENABLING CHANGE: MENTAL HEALTH ACROSS THE LIFESPAN 
OCT4ECP,ENABLING CHANGE: MUSCULOSKELETAL AND NEUROLOGICAL CONDITIONS 
ABS3EAV,ENCOUNTERING ABORIGINAL VICTORIA 
ENV3ESB,ENDANGERED SPECIES BIOLOGY AND MANAGEMENT 
NSG3EPN,ENGAGEMENT IN PROFESSIONAL NURSING 
EDU5ESA,ENGAGING STUDENTS WITH AUTISM 
EMS1EDP,ENGINEERING DESIGN AND PROBLEM SOLVING 
EMS3DPJ,ENGINEERING DESIGN PROJECT 
EMS2EEP,ENGINEERING ENTERPRISE 
EMS4EMP,ENGINEERING MAJOR PROJECT 
EMS2EM,ENGINEERING MATERIALS 
ELE5PRA,ENGINEERING PRACTICE 
STM2EPS,ENGINEERING PROBABILITY AND STATISTICS 
EMS4PRJ,ENGINEERING PROJECT 
ELE4EPA,ENGINEERING PROJECT A 
ELE5PRB,ENGINEERING PROJECT B 
ELE4EPB,ENGINEERING PROJECT B 
ELE5ERM,ENGINEERING RESEARCH METHODOLOGY AND APPLICATION 
EDU1ESL,ENGLISH AS A SECOND LANGUAGE I 
EDU0EA1,ENGLISH FOR ACADEMIC SUCCESS 
EDU4EGC,ENGLISH FOR GLOBAL COMMUNICATION 
ENG4HNP,ENGLISH HONOURS THESIS 
ENG4HON,ENGLISH HONOURS THESIS 
ENG4HNJ,ENGLISH HONOURS THESIS 
EDU4EN1,ENGLISH SECONDARY CURRICULUM 1 
EDU4EN2,ENGLISH SECONDARY CURRICULUM 2 
DIS501,ENHANCING SOCIAL INCLUSION 
ADP5ESI,ENHANCING SOCIAL INCLUSION 
BUS5EBI,ENTERPRISE BUSINESS INTELLIGENCE 
BUS5EIS,ENTERPRISE INFORMATION SYSTEMS 
MGT5ERM,ENTERPRISE RISK MANAGEMENT 
MGT5EBP,ENTREPRENEURIAL BUSINESS PLANNING 
BUS3ENX,ENTREPRENEURSHIP 
BUS3ENT,ENTREPRENEURSHIP 
BUO5ENP,ENTREPRENEURSHIP IN GLOBAL MARKETS 
BUA5ENP,ENTREPRENEURSHIP IN GLOBAL MARKETS 
CSE5ENT,ENTREPRENEURSHIP IN I.T. 
CYB5ENT,ENTREPRENEURSHIP IN I.T. 
NSG4EPI,ENTRY PROGRAM FOR INTERNATIONALLY QUALIFED NURSES 
LAW3ERL,ENVIRONMENT STUDIES 
PHE2EHI,ENVIRONMENTAL HEALTH ISSUES 
HIS3AEH,ENVIRONMENTAL HISTORY: GONDWANA TO GLOBAL WARMING 
PHE5ENV,ENVIRONMENTAL INFLUENCES ON HEALTH 
OED2EI,ENVIRONMENTAL INTERPRETATION 
LST2EL,ENVIRONMENTAL LAW 
AGR3ENV,ENVIRONMENTAL MANAGEMENT 
PLA5ESI,ENVIRONMENTAL MANAGEMENT & DEVELOPMENT 
PLA5ERS,ENVIRONMENTAL REGION STUDIO 
CAH3EOR,EPICS OF ROME 
PHE5EPI,EPIDEMIOLOGY 1 
DTN4EPI,EPIDEMIOLOGY AND RESEARCH METHODS 
DTN3EPO,EPIDEMIOLOGY AND RESEARCH SKILLS FOR NUTRITION 
PHE2EFP,EPIDEMIOLOGY FOR PRACTICE 
PHE3EPI,EPIDEMIOLOGY FOR PUBLIC HEALTH 
AGR1EAP,EQUINE ANATOMY AND PHYSIOLOGY 
AGR3EHM,EQUINE HEALTH MANAGEMENT 
VET1EHS,EQUINE HEALTH SYSTEMS 
AGR2EQR,EQUINE REPRODUCTION 
FIN5EQS,EQUITY SECURITIES 
HBS5ERG,"ERGONOMICS PRINCIPLES OF WORK, WORKSTATION AND PLANT DESIGN "
CHM101,ESSENTIALS OF CHEMISTRY 
ADP5EID,ETHICAL ISSUES IN DISABILITY PRACTICE 
DIS506,ETHICAL ISSUES IN DISABILITY PRACTICE 
EDU4EPP,ETHICAL PROFESSIONAL PRACTICE 
HIM3EHI,ETHICS AND LAW OF HEALTH INFORMATION 
PHI2EPT,ETHICS AND POLITICAL THEORY 
NSG5ERP,ETHICS IN RESEARCH AND PRACTICE 
PHI2EPP,ETHICS: PRIVATE AND PUBLIC 
EST3ECC,ETHNIC AND CIVIL CONFLICT IN SOUTHERN EUROPE AND CYPRUS 
EST2ECC,ETHNIC AND CIVIL CONFLICT IN SOUTHERN EUROPE AND CYPRUS 
SOC3EAI,ETHNICITY AND IDENTITY: SOCIAL AND POLITICAL APPROACHES 
POL5PIR,"EUROPE DIVIDED: INTEGRATION, DEMOCRATISATION AND RUSSIAN AUTHORITARIANISM "
LAW5ECM,EUROPEAN COMPANY LAW 
EST4HNJ,EUROPEAN STUDIES 4 
EST4HNP,EUROPEAN STUDIES 4 
EST4HON,EUROPEAN STUDIES 4 
ARH2ETA,EUROPEAN TRAVEL AND ART 
BUS2ENS,EVALUATE AND NEGOTIATE 
PTY5EHR,EVALUATING HEALTH CARE RESEARCH 
THS3EOP,EVENT PLANNING 
THS3SCE,EVENT PROJECT 
LAW2ECP,EVIDENCE AND CRIMINAL PROCEDURE 
LAW5EVP,EVIDENCE AND CRIMINAL PROCEDURE 
ORH3EBP,EVIDENCE BASED ORAL HEALTH PRACTICE 
VET2EBN,EVIDENCE BASED PRACTICE FOR VETERINARY NURSES 
PTY5EBP,EVIDENCE BASED PRACTICE IN HEALTH 
PSY5EBP,EVIDENCE BASED PRACTICE IN PROFESSIONAL PSYCHOLOGY 
PHE5EBP,"EVIDENCE BASED PUBLIC HEALTH: KNOWLEDGE, SKILLS AND PRACTICE "
HCS4EPS,EVIDENCE IN PRACTICE IN SPEECH PATHOLOGY 
POR4EFA,EVIDENCE OF FOOT ANKLE ORTHOTICS 
POR3ETT,EVIDENCE OF TRANSTIBIAL PROSTHETICS 
OCT5ERA,EVIDENCE REVIEW IN OCCUPATIONAL THERAPY 
EXS5ECP,EVIDENCE-BASED CLINICAL PRACTICE 
EDU4EXM,EXCEPTIONAL MATHEMATICS 
EXS2ESB,EXERCISE AND SPORTS BIOMECHANICS 
EXS2ESP,EXERCISE AND SPORTS PHYSIOLOGY 
EXS1EFH,EXERCISE FITNESS AND HEALTH 
SPE2EPA,EXERCISE PHYSIOLOGY AND ASSESSMENT 
SPE3EPD,EXERCISE PRESCRIPTION & DELIVERY 
SPE2EPD,EXERCISE PRESCRIPTION AND DELIVERY 
EXS3EPP,EXERCISE PROGRAMMING AND PRESCRIPTION FOR PEOPLE WITH SPECIAL CONSIDERATIONS 
EXS3EXP,EXERCISE SCIENCE PROJECT 
CRA2EON,EXHIBIT ONE 
HUS2ECA,EXHIBITING CULTURE A 
HUS3ECB,EXHIBITING CULTURE B 
PHI2EMA,EXISTENTENTIALISM: MOODS ANXIETY AUTHENTICITY 
VET3EAW,"EXOTICS, AVIAN AND WILDLIFE CARE "
BUA5ELP,EXPERIENTIAL LEARNING PROJECT 
BUS3ELP,EXPERIENTIAL LEARNING PROJECT 
PSY1EFP,EXPERIMENTAL FOUNDATIONS OF PSYCHOLOGICAL SCIENCE 
PLA1ELE,EXPLORING LIVING ENVIRONMENTS 
CRA1ECA,EXPLORING SCREEN ARTS 
MSS3ESP,EXPLORING SPACES 
PAR3ECP,EXTENDED CARE PARAMEDICINE 
POR5ECE,EXTENDED CLINICAL EDUCATION 
POR5ELO,EXTENDED EVIDENCE BASED ORTHOTIC MANAGEMENT OF THE LOWER LIMB 
POR5ELP,EXTENDED LOWER LIMB PROSTHETICS 
POR3EOF,EXTENDED ORTHOTIC MANAGEMENT OF THE FOOT 
ORT1EAP,EYE ANATOMY AND PHYSIOLOGY 
ORT4EYS,EYE MOVEMENT SYSTEMS 
CPPDSM4045,FACILITATE MEETINGS IN THE PROPERTY INDUSTRY 
EDU1FCP,FAMILIES AND COMMUNITY PARTNERSHIPS 
EDU4FCP,FAMILY AND COMMUNITY PERSPECTIVES IN EARLY CHILDHOOD EDUCATION 
LAW2FSL,FAMILY SOCIETY AND LAW 
FTH5TPA,FAMILY THERAPY THEORY AND PRACTICE A 
FTH5TPB,FAMILY THERAPY THEORY AND PRACTICE B 
FTH5TPC,FAMILY THERAPY THEORY AND PRACTICE C 
FTH5TPD,FAMILY THERAPY THEORY AND PRACTICE D 
FTH4TSI,FAMILY THERAPY: WORKER SELF ANALYSIS AND INTEGRATION 
FTH4FWI,FAMILY WORK INTERVENTIONS 
FTH4FWS,FAMILY WORK SKILLS 
GSD2FCC,"FEMINISM, CONFLICT AND CHANGE "
EDU4FYA,FICTION FOR YOUNG ADULTS 
AGR3FCA,FIELD CROP AGRONOMY 
PHE3FEB,FIELD EXPERIENCE 
OED1AFE,FIELD EXPERIENCE A 
OED2FEC,FIELD EXPERIENCE C 
OED3FED,FIELD EXPERIENCE D 
OED3FEE,FIELD EXPERIENCE E 
DST5MDF,FIELD METHODS AND RESEARCH FOR DEVELOPMENT 
SWP5FPB,FIELD OF SOCIAL WORK PRACTICE B 
PHE3FPI,FIELD PLACEMENT INDUCTION 
SWP4FPA,FIELDS OF SOCIAL WORK PRACTICE A 
SWP5FPC,FIELDS OF SOCIAL WORK PRACTICE C 
EDU3FFD,FILM FICTION AND DESIRE IN EDUCATION 
PHE5AFP,FINAL PROJECT IN ART THERAPY 
LST2FLA,FINANCE LAW 
ACC5FAS,FINANCIAL ACCOUNTING INFORMATION SYSTEMS 
FIN2FII,FINANCIAL INSTRUMENTS 
BUA5FIV,FINANCIAL INVESTMENT 
BUA5MFN,FINANCIAL MANAGEMENT 
BUO5MFN,FINANCIAL MANAGEMENT 
FIN5FMA,FINANCIAL MANAGEMENT 
FIN3FRM,FINANCIAL RISK MANAGEMENT 
FIN5FSA,FINANCIAL STATEMENT ANALYSIS 
FIN1FSA,FINANCIAL STATEMENT ANALYSIS 
FIN2FSS,FINANCING STARTUPS AND SMES 
NSG2FNH,FIRST NATIONS HEALTH 
DEN4FPR,FIXED PROSTHODONTICS 
EMS2FLM,FLUID MECHANICS 
AHCILM306,FOLLOW ABORIGINAL CULTURAL PROTOCOLS 
THS1FBS,FOOD & BEVERAGE SUPERVISION 
MKT3FFM,FOOD AND FIBRE MARKETS 
HBS301,FOOD AND NUTRITION PRACTICAL SKILLS 
DTN2FSO,FOOD AND SOCIETIES 
DTN3FSO,FOOD AND SOCIETIES 
LAW3FLW,FOOD LAW 
AGR1FCW,FOOD PRODUCTION IN A CHANGING WORLD 
DTN3FSF,FOOD SCIENCE AND FOOD SKILLS 
DTN4FSF,FOOD SCIENCE AND FOOD SKILLS 
PHE2FSE,FOOD SCIENCE: ESSENTIALS 
DTN5FSM,FOOD SERVICE MANAGEMENT THEORY AND PRACTICE 
GEG3FWE,FOOD WATER AND ENVIRONMENT 
ACC3FOA,FORENSIC ACCOUNTING 
CHE2NAC,FORENSIC AND ANALYTICAL CHEMISTRY 
LIN3FSL,FORENSIC LINGUISTICS 
EDU5FFE,FORMS AND FUNCTIONS OF LANGUAGE IN EDUCATION 
EDU0MA2,FOUNDATION ALGEBRA 
EDU0SC3,FOUNDATION CELL BIOLOGY 
EDU0SC4,FOUNDATION CHEMISTRY 
MGT5PSC,FOUNDATION OF LOGISTICS AND SUPPLY CHAIN MANAGEMENT 
EDU0MA3,FOUNDATION STATISTICS 
VET1FSV,FOUNDATION STUDIES FOR VETERINARY NURSING 
GER4FSG,FOUNDATION STUDIES IN GERONTOLOGY 
NSM4FAC,FOUNDATIONS FOR ACUTE CARE NURSING PRACTICE A 
NSM4FCP,FOUNDATIONS FOR CANCER CARE NURSING PRACTICE A 
NSM4FCA,FOUNDATIONS FOR CARDIAC CARE NURSING PRACTICE A 
NSM4FCF,"FOUNDATIONS FOR CHILD, FAMILY & COMMUNITY NURSING PRACTICE A "
NSM4FCC,FOUNDATIONS FOR CRITICAL CARE NURSING PRACTICE A 
NSM4FEC,FOUNDATIONS FOR EMERGENCY CARE NURSING PRACTICE A 
OCT3FEC,FOUNDATIONS FOR ENABLING CHANGE 
NSM4FIC,FOUNDATIONS FOR INTENSIVE CARE NURSING PRACTICE A 
NSM4NCF,FOUNDATIONS FOR NEONATAL CARE NURSING PRACTICE A 
NSM4FPA,FOUNDATIONS FOR PERIANESTHETIC CARE NURSING PRACTICE A 
NSM4FPO,FOUNDATIONS FOR PERIOPERATIVE CARE NURSING PRACTICE A 
NSM4FRC,FOUNDATIONS FOR RENAL CARE NURSING PRACTICE A 
NSM4FPB,FOUNDATIONS FOR SPECIALTY PRACTICE B 
NSM4UCF,FOUNDATIONS FOR UROLOGY AND CONTINENCE NURSING PRACTICE A 
NSM4FWA,FOUNDATIONS FOR WOUND MANAGEMENT A 
HBS3PCY,FOUNDATIONS IN PHARMACOLOGY 
MID1FPC,FOUNDATIONS IN PREGNANCY CARE 
NSG4FIR,FOUNDATIONS IN RESEARCH 
PHE4FAA,FOUNDATIONS OF ART THERAPY A 
PHE4FAB,FOUNDATIONS OF ART THERAPY B 
MED1BSF,FOUNDATIONS OF BIOMEDICAL SCIENCE 
LST5CCL,FOUNDATIONS OF COMPANY AND COMMERCIAL LAW 
SPE1FEP,FOUNDATIONS OF EXERCISE PROGRAMMING 
RMD5FGR,FOUNDATIONS OF GRADUATE RESEARCH 
LIN1FOL,FOUNDATIONS OF LANGUAGE 
MGT1FOX,FOUNDATIONS OF MANAGEMENT 
MGT1FOM,FOUNDATIONS OF MANAGEMENT 
OCT5OTF,FOUNDATIONS OF OCCUPATIONAL THERAPY 
ORT1FOP,FOUNDATIONS OF ORTHOPTIC PRACTICE 
PAR1FPP,FOUNDATIONS OF PARAMEDIC PRACTICE 
HLT1FPC,FOUNDATIONS OF PROFESSIONAL COMMUNICATION 
LAW2FPL,FOUNDATIONS OF PROPERTY LAW 
SPE1FSE,FOUNDATIONS OF SPORT AND EXERCISE SCIENCE 
SPE1FSA,FOUNDATIONS OF SPORTS AND EXERCISE SCIENCE PRACTICE A 
SPE1FSB,FOUNDATIONS OF SPORTS AND EXERCISE SCIENCE PRACTICE B 
SPE1FSC,FOUNDATIONS OF STRENGTH AND CONDITIONING 
EDU1FFL,FRAMEWORKS FOR LEARNING 
FRE2FRF,FRANCE IN FILM SINCE 1945 
FRE1001,FRENCH 1 
FRE4010,FRENCH 10 
FRE1002,FRENCH 2 
FRE2003,FRENCH 3 
FRE2004,FRENCH 4 
FRE3005,FRENCH 5 
FRE3006,FRENCH 6 
FRE4007,FRENCH 7 
FRE4008,FRENCH 8 
FRE4009,FRENCH 9 
FRE4HSS,FRENCH HONOURS SPECIAL SUBJECT 
ENV3FRE,FRESHWATER ECOSYSTEMS FIELD COURSE 
ARC3FFF,FROM FORAGING TO FARMING 
LAS2JAC,FROM PIRATES TO REGGAE: THE HISTORY OF JAMAICA AND THE CARIBBEAN 
HUS1PDC,FROM PRISONS TO DETENTION CENTRES: INTERROGATING CONTAINMENT 
LST1PDC,FROM PRISONS TO DETENTION CENTRES: INTERROGATING CONTAINMENT 
ARH3ENV,FROM THE SUBLIME TO ACTIVISM: ART AND THE ENVIRONMENT 
LST4FCL,FUNDAMENTAL CONCEPTS IN LEGAL STUDIES AND CRIMINOLOGY 
HIS3FRM,"FUNDAMENTALISM, RELIGION AND MODERNITY "
CHE2FCA,FUNDAMENTALS OF CHEMISTRY A 
CHE2FCB,FUNDAMENTALS OF CHEMISTRY B 
PHA4DUS,FUNDAMENTALS OF DRUG USE IN SOCIETY 
FIN1FOF,FUNDAMENTALS OF FINANCE 
MKT1MDP,FUNDAMENTALS OF MARKETING 
AGR2FFT,FUTURE FARMING TECHNOLOGIES 
SHE3FRW,FUTURE READY FOR WORK (WORK INTEGRATED LEARNING) 
AGR3FTE,FUTURE TECHNOLOGIES 
MGT5GPE,GAIN THE POLICY EDGE 
CAH2GAL,GALLIPOLI: FROM THE TROJAN WAR TO THE GREAT WAR 
DTN3GME,GASTRONOMY 301: MULTICULTURALISM AND ETHNIC FOOD TRENDS 
EDU5GE,GENDER AND EDUCATION 
GSD2GES,GENDER AND SEXUALITY: CONTEMPORARY DEBATES 
DST5GMD,GENDER MOBILITY AND DEVELOPMENT 
GSD4HNP,GENDER SEXUALITY & DIVERSITY STUDIES HONOURS THESIS 
GSD4HON,GENDER SEXUALITY & DIVERSITY STUDIES HONOURS THESIS 
GSD4HNJ,GENDER SEXUALITY & DIVERSITY STUDIES HONOURS THESIS 
MAT4GA,GENERAL ALGEBRA 
LAW3GIL,GENERAL INSURANCE LAW & PRACTICE 
DEN2MDA,GENERAL MEDICINE A 
CHE1GEN,GENERAL PRINCIPLES OF CHEMISTRY 
SPE1GSC,GENERAL PRINCIPLES OF SPORT COACHING 
EDU4GS1,GENERAL SCIENCE SECONDARY CURRICULUM 1 
EDU4GS2,GENERAL SCIENCE SECONDARY CURRICULUM 2 
BIO1GEN,"GENETICS, HUMAN BIOLOGY AND EVOLUTION "
HIS3GAH,GENOCIDES AND THE HOLOCAUST - MASS ATROCITIES AND JUSTICE THEN AND NOW 
EDU2GCL,GENRES IN CHILDREN'S LITERATURE 
ARC2GIS,GEOGRAPHIC INFORMATION SYSTEMS: TECHNIQUES AND APPLICATIONS 
ENV3GPL,GEOLOGY AND PLANT LIFE 
CIV3GTD,GEOTECHNICAL DESIGN 
PAR3GSN,GERONTOLOGY AND SPECIAL NEEDS 
CAH2GAE,GLADIATORS AND EMPERORS: SPECTACLE AND SOCIETY IN IMPERIAL ROME 
LAW3GCP,GLOBAL CHANGE AND PEACE 
EDU4GEP,GLOBAL EARLY CHILDHOOD PROFESSIONALS 
POL2GEP,GLOBAL ENVIRONMENTAL POLITICS IN THE 21ST CENTURY 
ENH1GEV,GLOBAL ENVIRONMENTS 
PHE3GHI,GLOBAL HEALTH INITIATIVES 
SCI3GIP,GLOBAL INDUSTRY PLACEMENT 
SOC1GIL,"GLOBAL ISSUES, LOCAL LIVES "
HIS2GMN,"GLOBAL MIGRATION: PEOPLE, POWER AND MOBILITY "
ORH3GPO,GLOBAL PERSPECTIVES IN ORAL HEALTH 
DST1DEV,GLOBALISATION AND DEVELOPMENT 
HUS3GBP,GONE BUSH: AUSTRALIAN IDENTITY AND RURAL MYTH 
IBU5GW,GOVERNANCE IN A GLOBALISING WORLD 
ACC3GRM,"GOVERNANCE, ETHICS AND RISK MANAGEMENT "
PLA4UGP,"GOVERNANCE, PUBLIC POLICY & LEGISLATION "
BOT4PGB,GRADUATE DIPLOMA BOTANY 
BOT4PGA,GRADUATE DIPLOMA BOTANY 
EEE4PGB,"GRADUATE DIPLOMA ECOLOGY, ENVIRONMENT AND EVOLUTION B "
AGR4PGA,GRADUATE DIPLOMA IN AGRICULTURAL SCIENCE 
AGR4PGB,GRADUATE DIPLOMA IN AGRICULTURAL SCIENCE 
EEE4PGA,"GRADUATE DIPLOMA IN ECOLOGY, ENVIRONMENT AND EVOLUTION A "
MIC4PGA,GRADUATE DIPLOMA MICROBIOLOGY 
MIC4PGB,GRADUATE DIPLOMA MICROBIOLOGY 
STA4PGB,GRADUATE DIPLOMA STATISTICS 
STA4PGA,GRADUATE DIPLOMA STATISTICS 
RMD6IIA,GRADUATE RESEARCH INDUSTRY INTERNSHIP 
RMD6IIE,GRADUATE RESEARCH INDUSTRY INTERNSHIP 
PTY3GEP,GRADUATE-ENTRY PREPARATION FOR MASTER OF PHYSIOTHERAPY PRACTICE 
MAT2GT,GRAPH THEORY 
MAT3GT,GRAPH THEORY 
GST1001,GREEK 1 
GST4010,GREEK 10 
GST1002,GREEK 2 
GST2003,GREEK 3 
GST2004,GREEK 4 
GST3005,GREEK 5 
GST3006,GREEK 6 
GST4007,GREEK 7 
GST4008,GREEK 8 
GST4009,GREEK 9 
GST4HSS,GREEK HONOURS SPECIAL SUBJECT 
CIV5GI,GROUND IMPROVEMENT & GEOSYNTHETICS ENGINEERING 
ENV3EGW,GROUNDWATER - SUSTAINABILITY & CONTAMINATION 
ENV2EGW,GROUNDWATER - SUSTAINABILITY & CONTAMINATION 
MAT4GG,GROUP ACTIONS 
PHE4ASB,GROUP ART THERAPY 
PHA4GP,GROUP PROJECT 
THS2HME,HALLMARK EVENTS 
HMK1HML,HALLMARKS OF LEADERSHIP 
PAM3HAN,"HEAD, NECK ANATOMY & NEUROANATOMY "
EDU4HHD,HEALTH & HUMAN DEVELOPMENT METHOD: PREP TO 12 
PSY5HMP,HEALTH AND MENTAL HEALTH PRACTICE 
GER4HWB,HEALTH AND WELL-BEING OF OLDER PEOPLE 
HLT1HDD,HEALTH AND WELLBEING OF PEOPLE WITH DEVELOPMENTAL DISABILITIES 
PHE5HCQ,HEALTH CARE QUALITY 
CPH5HCQ,HEALTH CARE QUALITY 
PHE3HCS,HEALTH CARE SYSTEMS 
HIM2HCA,HEALTH CLASSIFICATION A 
HIM5HCC,HEALTH CLASSIFICATION AND CASEMIX C 
HIM4CCB,HEALTH CLASSIFICATION AND CLINICAL CODING B 
HIM5CCC,HEALTH CLASSIFICATION AND CLINICAL CODING C 
HIM5CCD,HEALTH CLASSIFICATION AND CLINICAL CODING D 
HIM3HCC,HEALTH CLASSIFICATION C 
HIM4AHA,HEALTH DATA ANALYSIS A 
CPH4HDD,HEALTH DATA FOR DECISION MAKING 
PHE5HDD,HEALTH DATA FOR DECISION MAKING: EPIDEMIOLOGY AND BIOSTATISTICS 
HIM5HDR,HEALTH DATA RESEARCH PROJECT 
HIM5HDI,HEALTH DATA SETS AND DATA INTEGRITY 
ECO3HEC,HEALTH ECONOMICS 
PHE5HEF,HEALTH ECONOMICS AND FINANCE 
PHE2HED,HEALTH EDUCATION DEVELOPMENT 
EDU4HEM,HEALTH EDUCATION TEACHING METHOD 
HIM3HIA,HEALTH INFORMATICS A 
HIM3HIB,HEALTH INFORMATICS B 
HIM4HIC,HEALTH INFORMATICS C 
PHE3HIC,HEALTH INFORMATICS FOR CLINICAL PRACTICE 
HIM5IEL,HEALTH INFORMATION ETHICS AND LAW 
HIM5HMC,HEALTH INFORMATION MANAGEMENT C 
HIM5HMD,HEALTH INFORMATION MANAGEMENT D 
HIM4PPB,HEALTH INFORMATION PROFESSIONAL PRACTICE B 
HIM5PPC,HEALTH INFORMATION PROFESSIONAL PRACTICE C 
HIM4HPP,HEALTH INFORMATION PROFESSIONAL PRACTICE P 
CPH5HIS,HEALTH INFORMATION SYSTEMS 
LAW5HEA,HEALTH LAW 
PHE5LAE,HEALTH LAW AND ETHICS 
PHE5HSO,HEALTH MANAGEMENT STRATEGY AND OPERATIONS 
CPH5HSO,HEALTH MANAGEMENT STRATEGY AND OPERATIONS 
PHE5HPA,HEALTH POLICY ANALYSIS AND RESEARCH 
PHE5POL,HEALTH POLICY DEVELOPMENT AND IMPLEMENTATION 
PHE5AHP,HEALTH PROMOTING PALLIATIVE CARE 
EDU4HPS,HEALTH PROMOTION IN SCHOOLS 
PHE3HPE,HEALTH PROMOTION PLANNING & EVALUATION 
EDU4HE1,HEALTH SECONDARY CURRICULUM 1 
EDU4HE2,HEALTH SECONDARY CURRICULUM 2 
CPH4HSF,HEALTH SECTOR FINANCE 
CPH5HSR,HEALTH SERVICE RESOURCE MANAGEMENT 
PHE5HSR,HEALTH SERVICE RESOURCE MANAGEMENT 
HIM5HSI,HEALTH SYSTEMS IMPLEMENTATION 
EDU2HNW,"HEALTH, NUTRITION AND WELLBEING FOR CHILDREN "
HBS1HWP,"HEALTH, WORK AND PLAY "
NSG2HEL,HEALTHCARE ETHICS AND LAW 
HIM1HAU,HEALTHCARE IN AUSTRALIA 
PHE5HOR,HEALTHY ORGANISATIONS 
AUD5RHD,HEARING AID SYSTEMS AND FITTING 
LAW3HER,HERITAGE LAW 
PLA4HP,HERITAGE PLANNING 
PLA5HP,HERITAGE PLANNING 
HIS2HS,HERITAGE STUDIES 
HIS3HS,HERITAGE STUDIES 
ZOO3HIF,HERON ISLAND MARINE PHYSIOLOGY FIELD COURSE 
SPE3HPT,HIGH PERFORMANCE TRAINING FOR SPORT 
EDU3HSN,HIGH SUPPORT NEEDS AND AUGMENTATIVE COMMUNICATION 
EDU4HEC,HIGHER EDUCATION CURRICULUM DESIGN 
HND1001,HINDI 1 
HND1002,HINDI 2 
HND2003,HINDI 3 
HND2004,HINDI 4 
HND3005,HINDI 5: MEDIA HINDI 
