code,title,availability,units
GSBS6410,Economics of Competitive Advantage,Trimester 1 - 2020 (Online)Trimester 3 - 2020 (Online)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore),10 units
GSBS6411,Introduction to Co-operative Organisation and Management: the Co-operative Advantage,Trimester 1 - 2020 (Online),10 units
GSBS6412,Social Enterprises and Co-operative Innovation,Trimester 3 - 2020 (Online),10 units
GSBS6413,History and Future of Co-operatives in Australia,Not currently offered,10 units
GSBS6414,International Comparative Co-operatives,Not currently offered,10 units
GSBS6415,Strategic Co-operative Management,Not currently offered,20 units
GSBS6420,Macroeconomic Analysis,Not currently offered,10 units
GSBS6430,Issues in Developing Economies,Semester 1 - 2020 (Callaghan),10 units
GSBS6440,International Trade and Policy,Not currently offered,10 units
GSBS6450,Banking and Finance,Not currently offered,10 units
GSBS6460,Economic Transformation in Asia Pacific Economies,Not currently offered,10 units
GSBS6470,Behavioural Economics for Decision Making,Trimester 1 - 2020 (Newcastle City),10 units
GSBS6481,International Business Strategy,Trimester 1 - 2020 (Newcastle City)Trimester 1 - 2020 (Sydney),10 units
GSBS6484,Corporate Governance and Social Responsibility,Trimester 2 - 2020 (GOSFORD)Trimester 1 - 2020 (Newcastle City)Trimester 3 - 2020 (Newcastle City)Trimester 2 - 2020 (Online)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore)Trimester 1 - 2020 (Sydney)Trimester 3 - 2020 (Sydney),10 units
GSBS6505,Marketing Research in Practice,Trimester 1 - 2020 (Newcastle City)Trimester 1 - 2020 (Online),10 units
GSBS6506,Financial Statement Analysis,Trimester 1 - 2020 (Newcastle City)Trimester 3 - 2020 (Newcastle City),10 units
GSBS6507,Professional Practice in Human Resource Management and Employment Relations,Trimester 1 - 2020 (Newcastle City)Trimester 3 - 2020 (Newcastle City)Trimester 3 - 2020 (Online),10 units
GSBS6508,Enterprise Development and Growth,Not currently offered,10 units
GSBS6509,Entrepreneurship for Startups,Trimester 1 - 2020 (Newcastle City),10 units
GSBS6510,Global Innovation Management,Not currently offered,10 units
GSBS6511,Creativity and Design Thinking for Enterprise,Not currently offered,10 units
GSBS6512,Project in Enterprise Development,Not currently offered,20 units
GSBS6513,Project in Entrepreneurship and Innovation,Not currently offered,10 units
GSBS6514,Leadership in Contemporary Organisations,Trimester 1 - 2020 (GOSFORD)Trimester 2 - 2020 (Newcastle City)Trimester 3 - 2020 (Newcastle City)Trimester 1 - 2020 (Online)Trimester 3 - 2020 (Online)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore)Trimester 2 - 2020 (Sydney),10 units
GSBS6515,Public Policy and Organisations,Trimester 3 - 2020 (Online),10 units
GSBS6516,Ethics in Financial Services,Trimester 1 - 2020 (Newcastle City),10 units
GSBS6517,Behavioural Finance and Client Relationships,Trimester 2 - 2020 (Newcastle City),10 units
Back to top,Back to top,Back to top,Back to top
HASS1000,BA Futures,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
HASS2000,BA Practice,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
HASS3000,BA Project,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Online),10 units
HASS4000,BA Research,Semester 1 - 2020 (Callaghan),20 units
HASS4001,"BA Theory and Practice in Historical, Cultural and Critical Inquiry",Semester 1 - 2020 (Callaghan),20 units
HASS4002,"BA Theory and Practice in Screens, Languages, English and Writing",Semester 1 - 2020 (Callaghan),20 units
Back to top,Back to top,Back to top,Back to top
HIST1001,Europe and the World,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Semester 2 - 2020 (Online),10 units
HIST1002,The United States from Civil War to Superpower,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online),10 units
HIST1003,The Foundations of America,Not currently offered,10 units
HIST1051,The Australian Experience,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Online),10 units
HIST1052,Origin of Controversies,Semester 2 - 2020 (Callaghan),10 units
HIST2002,Fact or Fiction? Reading the Past,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Online),10 units
HIST2006,Australian Underworlds: Histories of Crime in Australia,Semester 2 - 2020 (Online),10 units
HIST2025,Contact Zones in Colonial History,Not currently offered,10 units
HIST2031,"History, War and Film",Semester 2 - 2020 (Callaghan),10 units
HIST2051,History and Heritage,Not currently offered,10 units
HIST2065,A Sunburnt Country: Australian Environmental History,Not currently offered,10 units
HIST2150,Medieval and Renaissance Europe,Not currently offered,10 units
HIST2210,Australian Foreign Relations: Australia and Asia,Semester 1 - 2020 (Callaghan),10 units
HIST2650,War and Australian Society,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
HIST2668,Reading and Writing Australian Biography,Not currently offered,10 units
HIST2672,Israel and the Middle East: Roots of the current conflict,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
HIST3003,History Workshop,Not currently offered,20 units
HIST3006,The History of Violence,Semester 2 - 2020 (Callaghan),10 units
HIST3053,Reel History,Not currently offered,20 units
HIST3151,The African American Experience from Martin Luther King to Obama,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),20 units
HIST3200,Foreign Relations: Australia and the Great Powers,Not currently offered,20 units
HIST3220,Issues in Australian History,Not currently offered,20 units
HIST3242,Growing Up in Australia,Not currently offered,10 units
HIST3333,Colonies and Empires,Not currently offered,20 units
HIST3455,"Global Age of Revolution: Russia, Germany and Modern Turkey",Semester 2 - 2020 (Callaghan),20 units
HIST3581,Sex and Scandal in History,Not currently offered,20 units
HIST3600,Global Women's History,Not currently offered,10 units
HIST3620,Maps and Dreams: Aboriginal-Colonial Relationships in Australian History,Semester 1 - 2020 (Callaghan),20 units
HIST3640,"Fascism, War and Genocide, 1900-1945",Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),20 units
HIST3673,The Future of the Middle East,Not currently offered,10 units
HIST4050,History Honours I,Not currently offered,20 units
HIST4060,History Honours II,Not currently offered,20 units
HIST4070,History Honours III,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
HIST4080,History Honours IV,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
Back to top,Back to top,Back to top,Back to top
HLSC1000,Transition to Health Sciences Education and Practice,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HLSC1200,Nutrition4Me,Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
HLSC1220,Food Science 1,Semester 2 - 2020 (Callaghan),10 units
HLSC1243,Foundations of Strong Families--Capable Communities,Semester 2 - 2020 (Online),10 units
HLSC2100,Volunteerism - Perspectives and Management,Not currently offered,10 units
HLSC2240,Nutrition in Childhood,Semester 2 - 2020 (Callaghan),10 units
HLSC2241,Family and community engagement: an introduction,Semester 2 - 2020 (Online),10 units
HLSC2242,Working with Men and Boys in Human Services,Semester 2 - 2020 (Online),10 units
HLSC2243,Prevention & Early Intervention Approaches in Family and Community Services,Semester 2 - 2020 (Online),10 units
HLSC3006,Teaching Health Practitioners,Semester 2 - 2020 (Central Coast),10 units
HLSC3243,Integrated Practices in Addressing Vulnerabilities in Families and Communities,Semester 2 - 2020 (Online),10 units
HLSC3244,Advanced Practice in Case Coordination,Not currently offered,10 units
HLSC4120,Research Methodology and Design,Summer 2 - 2020 (Online)Semester 1 - 2020 (Online),10 units
HLSC4300,Literature Review,Not currently offered,10 units
HLSC4301A,Literature Review Part A,Semester 1 - 2020 (Central Coast),10 units
HLSC4301B,Literature Review Part B,Semester 2 - 2020 (Central Coast),10 units
HLSC4310A,Research Project A,Semester 1 - 2020 (Callaghan),10 units
HLSC4310B,Research Project B,Semester 2 - 2020 (Callaghan),10 units
HLSC4401,Health Science Honours I,Not currently offered,20 units
HLSC4402,Health Science Honours II,Not currently offered,20 units
HLSC4403,Health Science Honours III,Not currently offered,20 units
HLSC4404A,Health Science Honours Project - Part A,Semester 1 - 2020 (Central Coast),20 units
HLSC4404B,Health Science Honours Project - Part B,Semester 2 - 2020 (Central Coast),20 units
HLSC4405,Health Science Honours 5,Not currently offered,20 units
HLSC4406,Health Science Honours 6,Semester 2 - 2020 (Central Coast),10 units
HLSC6101,Workplace Injury Management,Semester 1 - 2020 (Online),10 units
HLSC6105,Engaging Families and Communities,Semester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online),10 units
HLSC6106,Foundations in Family Studies,Semester 2 - 2020 (Callaghan)Trimester 1 - 2020 (Online),10 units
HLSC6107,Family Diversity,Semester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online),10 units
HLSC6112,Father-Infant Attachment and Co-Parenting: Theory and Intervention,Trimester 1 - 2020 (Online),10 units
HLSC6126,Engaging Fathers in Family Work,Trimester 3 - 2020 (Online),10 units
HLSC6127,Responding to Domestic and Family Violence: Theory and Practice,Trimester 1 - 2020 (Online),10 units
HLSC6130,Applied Research in Health and Safety,Semester 1 - 2020 (Online),10 units
HLSC6505,Families and Migration,Trimester 1 - 2020 (Online),10 units
HLSC6506,Evaluation and Evidence-based Practice,Trimester 2 - 2020 (Online),10 units
HLSC6507,Family-Centred Practice Across The Lifecourse,Trimester 2 - 2020 (Online),10 units
HLSC6510,International Perspectives on Family Policy,Trimester 3 - 2020 (Online),10 units
HLSC6511,Special Project in Family Studies,Semester 2 - 2020 (Callaghan)Trimester 3 - 2020 (Online),10 units
HLSC6514,Child-Centred Practice in Family Work,Not currently offered,10 units
HLSC6516,Embedded Counselling Skills for Family Practitioners,Not currently offered,10 units
HLSC6519,Applying a Trauma Informed Approach in Family Work,Trimester 3 - 2020 (Online),10 units
Back to top,Back to top,Back to top,Back to top
HPRO6715,Foundations of Health Promotion,Semester 1 - 2020 (Online),10 units
HPRO6900,Health Promotion Planning and Evaluation,Semester 2 - 2020 (Online),10 units
Back to top,Back to top,Back to top,Back to top
HUBS1105,Musculoskeletal Anatomy,Semester 1 - 2020 (Callaghan),10 units
HUBS1106,Head and Neck Anatomy,Semester 2 - 2020 (Central Coast),10 units
HUBS1107,Neuroscience and Head and Neck Anatomy,Semester 2 - 2020 (Callaghan),10 units
HUBS1108,Musculoskeletal Anatomy for Podiatry,Semester 1 - 2020 (Central Coast),10 units
HUBS1109,Anatomy for Biomedical Science,Semester 2 - 2020 (Callaghan),10 units
HUBS1202,Human Genomics and Biomolecular Analysis,Semester 2 - 2020 (Callaghan),10 units
HUBS1401,Human Bioscience,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HUBS1403,Biomedical Science Part 1,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HUBS1404,Biomedical Science Part 2,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
HUBS1405,Introduction to Professional Skills in Biomedical Science,Semester 1 - 2020 (Callaghan),10 units
HUBS1406,Human Bioscience for Nursing and Midwifery,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Port Macquarie),10 units
HUBS1416,Advanced Human Bioscience,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Semester 2 - 2020 (Port Macquarie),10 units
HUBS1417,Foundations of Health and Disease,Semester 1 - 2020 (Callaghan),10 units
HUBS1420,Terminology and Communication for Health Professions,Semester 2 - 2020 (Callaghan),10 units
HUBS1421,Assessing Physiological Function,Not currently offered,10 units
HUBS1422,Critical Thinking for Medicine and Science,Semester 1 - 2020 (Callaghan),10 units
HUBS2103,Neural and Visceral Anatomy,Semester 2 - 2020 (Callaghan),10 units
HUBS2105,Sports Science 2,Semester 1 - 2020 (Callaghan),10 units
HUBS2107,Mammalian Growth and Development,Semester 1 - 2020 (Callaghan),10 units
HUBS2203,Introductory Pharmacology,Semester 2 - 2020 (Online),10 units
HUBS2206,Human Biochemistry and Cell Biology,Semester 1 - 2020 (Callaghan),10 units
HUBS2207,Human Metabolic and Nutritional Biochemistry,Semester 2 - 2020 (Callaghan),10 units
HUBS2209,Human Cell Biology and Cancer,Semester 2 - 2020 (Callaghan),10 units
HUBS2407,Experimental Design and Laboratory Skills in Medical Research,Semester 1 - 2020 (Callaghan),10 units
HUBS2408,Clinical Research Design,Semester 2 - 2020 (Callaghan),10 units
HUBS2410,Biomedical Science Communication,Semester 2 - 2020 (Callaghan),10 units
HUBS2503,Clinical Exercise Physiology,Semester 1 - 2020 (Callaghan),10 units
HUBS2505,Human Pathophysiology,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HUBS2507,Integrative Physiology for Biomedical Science,Semester 2 - 2020 (Callaghan),10 units
HUBS2520,Sports Science 3 : Exercise Physiology,Semester 2 - 2020 (Callaghan),10 units
HUBS2601,Human Infection and Immunity 1,Semester 1 - 2020 (Callaghan),10 units
HUBS3204,Advanced Professional Skills in Biomedical Science,Not currently offered,10 units
HUBS3205,Human Pharmacology,Semester 1 - 2020 (Callaghan),10 units
HUBS3280,Nutritional Biochemistry,Semester 2 - 2020 (Callaghan),10 units
HUBS3302,Bioinformatics and Functional Genomics,Semester 1 - 2020 (Callaghan),10 units
HUBS3403,Neuroscience,Semester 1 - 2020 (Callaghan),10 units
HUBS3410,Advanced Skills in Research Design,Not currently offered,10 units
HUBS3411,Frontiers in Chronic Disease,Semester 2 - 2020 (Callaghan),10 units
HUBS3412,Work Integrated Learning in Biomedical Science 1,Semester 2 - 2020 (Callaghan),20 units
HUBS3413,Work Integrated Learning in Biomedical Science 2,Semester 2 - 2020 (Callaghan),40 units
HUBS3510,Sports Science 4,Semester 1 - 2020 (Callaghan),10 units
HUBS3511,Maternal and Foetal Physiology,Semester 1 - 2020 (Callaghan),10 units
HUBS3512,Neurobiology of Mental Illness,Semester 1 - 2020 (Callaghan),10 units
HUBS3602,Human Infection and Immunity 2,Semester 1 - 2020 (Callaghan),10 units
HUBS4401,Biomedical Sciences Honours 411,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
HUBS4402,Biomedical Sciences Honours 412,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
HUBS4403,Biomedical Sciences Honours 413,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
HUBS4404,Biomedical Sciences Honours 414,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),20 units
Back to top,Back to top,Back to top,Back to top
HUMA1001,Career Development for BA Students,Not currently offered,10 units
HUMA1100,Aboriginal Languages: New Approaches,Summer 2 - 2020 (Callaghan),10 units
HUMA2000,Humanities Placement: Local and Global Careers,Winter - 2020 (Callaghan),10 units
HUMA2070,Auslan 1,Summer 2 - 2020 (Callaghan)Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HUMA2080,Auslan 2,Semester 2 - 2020 (Callaghan),10 units
HUMA2500,Introduction to Digital Humanities,Semester 1 - 2020 (Callaghan),10 units
HUMA3000,Indigenous Cultural Competencies in the Humanities,Not currently offered,10 units
HUMA3003,Arts Practicum,Semester 2 - 2020 (Callaghan),10 units
Back to top,Back to top,Back to top,Back to top
HUSE1001,Introduction to Human Services,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HUSE2001,Shaping Human Services: Social Policy and the Political Process,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
HUSE2002,Child Protection Work,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HUSE2003,Juvenile Justice,Not currently offered,10 units
HUSE2004,Human Service Organisations,Not currently offered,10 units
HUSE2005,Gendered Violence,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
HUSE2006,Young People and Human Services,Not currently offered,10 units
HUSE3001,Casework and Case Management in Human Services,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HUSE3002,Human Service Practice Engagement Placement,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
HUSE3003,Human Rights in Social Policy and Human Services,Winter - 2020 (Callaghan),10 units
HUSE3004,"Social Policy:  Australian, Global and Comparative Patterns",Summer 2 - 2020 (Central Coast),10 units
HUSE3005,Working with Groups and Communities,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast),10 units
HUSE3006,Social Policy and Planning in Regional Contexts,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast),10 units
HUSE3007,Disability and Aged Care,Not currently offered,10 units
HUSE4110,Human Services Honours III,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 2 - 2020 (Central Coast),20 units
HUSE4120,Human Services Honours IV,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 2 - 2020 (Central Coast),20 units
Back to top,Back to top,Back to top,Back to top
IBUS1000,Managing International Business Risk,Semester 1 - 2020 (Newcastle City)Trimester 2 - 2020 (Singapore),10 units
IBUS2001,Cross-Cultural Management and Negotiations,Semester 2 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore),10 units
IBUS2003,International Trade Logistics,Semester 1 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore),10 units
IBUS3000,International Business Strategy,Semester 2 - 2020 (Newcastle City)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
IBUS4000,Theory in International Business,Semester 1 - 2020 (Newcastle City),20 units
Back to top,Back to top,Back to top,Back to top
IDEA2450,Workshop Skills,Not currently offered,10 units
IDEA3450,Design for the Future,Not currently offered,10 units
Back to top,Back to top,Back to top,Back to top
INDO1110,Elementary Indonesian 1,Not currently offered,10 units
INDO1120,Elementary Indonesian 2,Not currently offered,10 units
INDO2110,Intermediate Indonesian 1,Not currently offered,10 units
INDO2120,Intermediate Indonesian 2,Not currently offered,10 units
Back to top,Back to top,Back to top,Back to top
INFO1010,Introduction to Information Systems,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan),10 units
INFO6001,Database Management 1,Trimester 1 - 2020 (Callaghan)Trimester 1 - 2020 (Online)Trimester 1 - 2020 (Sydney),10 units
INFO6002,Database Management 2,Trimester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online),10 units
INFO6030,Systems Analysis and Design,Trimester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online)Trimester 2 - 2020 (Sydney),10 units
INFO6050,Process Analysis and Problem Solving,Trimester 3 - 2020 (Callaghan)Trimester 3 - 2020 (Online)Trimester 3 - 2020 (Sydney),10 units
INFO6080,Distributed Computing Technologies,Not currently offered,10 units
INFO6090,Business Intelligence for the Enterprise,Trimester 3 - 2020 (Online),10 units
INFO6180,Advanced Studies in Information Technology,Not currently offered,10 units
Back to top,Back to top,Back to top,Back to top
INFT1000,Information Technology in Business,Not currently offered,10 units
INFT1001,Foundations of Information Technology,Not currently offered,10 units
INFT1004,Introduction to Programming,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
INFT1040,Databases and Information Management,Not currently offered,10 units
INFT1150,Foundations of Information Systems,Not currently offered,10 units
INFT1201,Digital Technologies for Media and Entertainment,Semester 1 - 2020 (Callaghan),10 units
INFT1992,Introductory Information Technology 1,Not currently offered,40 units
INFT2009,Systems Modelling,Not currently offered,10 units
INFT2012,Application Programming,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Trimester 1 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
INFT2031,Systems & Network Administration,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online)Trimester 2 - 2020 (Singapore),10 units
INFT2040,Database Management Systems,Not currently offered,10 units
INFT2050,Mobile Applications and the Cloud,Not currently offered,10 units
INFT2051,Mobile Application Programming,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Trimester 1 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
INFT2150,Business Analysis,Semester 2 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
INFT2992,Introductory Information Technology 2,Not currently offered,40 units
INFT3007,The Information Resource,Trimester 1 - 2020 (Singapore),10 units
INFT3050,Web Programming,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Central Coast)Trimester 1 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
INFT3100,Project Management,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
INFT3150,Business Analysis,Not currently offered,10 units
INFT3160,Data Analytics,Not currently offered,10 units
INFT3302,Multimedia and Animation,Not currently offered,10 units
INFT3920,Contemporary Issues in Information Technology,Not currently offered,10 units
INFT3930,Information Technology Project,Not currently offered,10 units
INFT3940,Information Technology Applications,Not currently offered,10 units
INFT3950,Games Design,Semester 1 - 2020 (Callaghan),10 units
INFT3960,Games Production,Semester 2 - 2020 (Callaghan),10 units
INFT3970,IT Major Project,Not currently offered,20 units
INFT4000,Information Technology Honours I: Research Methods,Semester 1 - 2020 (Callaghan),10 units
INFT4010,Information Technology Honours II: Directed Readings,Semester 1 - 2020 (Callaghan)Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Central Coast)Semester 2 - 2020 (Central Coast),10 units
INFT4020,Information Technology Honours III: Research Project,Not currently offered,20 units
INFT4030,Information Technology Honours IV: Research Project,Not currently offered,20 units
INFT4040,Information Technology Honours V: Research Project,Not currently offered,20 units
INFT6009,Cloud Computing and Mobile Applications for the Enterprise,Trimester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online),10 units
INFT6060,The Digital Economy,Trimester 1 - 2020 (Callaghan)Trimester 1 - 2020 (Online),10 units
INFT6201,Big Data,Trimester 3 - 2020 (Callaghan)Trimester 3 - 2020 (Online),10 units
INFT6202,Configuring and Deploying IT Infrastructure for Organisations in Cloud Environments,Not currently offered,10 units
INFT6300,Computer Games Design,Trimester 2 - 2020 (Online),10 units
INFT6302,3D Modelling Animation and Rendering,Not currently offered,10 units
INFT6303,Computer Games Production,Not currently offered,10 units
INFT6304,Project Planning and Management,Trimester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online)Trimester 2 - 2020 (Sydney),10 units
INFT6500,Accounting Information Systems,Trimester 1 - 2020 (Online)Trimester 1 - 2020 (Sydney)Trimester 2 - 2020 (Sydney),10 units
INFT6800,Professional Practice in IT,Trimester 2 - 2020 (Callaghan)Trimester 2 - 2020 (Online),10 units
INFT6801,Information Technology Research Methods,Not currently offered,10 units
INFT6900,Information Technology Project,Trimester 3 - 2020 (Callaghan)Trimester 3 - 2020 (Online),20 units
INFT6951,IT Research Project A,Not currently offered,20 units
INFT6952,IT Research Project B,Not currently offered,20 units
Back to top,Back to top,Back to top,Back to top
IRHR1002,Dynamics of People and Work in Organisations,Semester 2 - 2020 (Central Coast)Semester 2 - 2020 (Newcastle City),10 units
IRHR2010,Introduction to Industrial Relations,Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City),10 units
IRHR2270,Introduction to Human Resource Management,Semester 2 - 2020 (Central Coast)Semester 2 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
IRHR3000,Applied Human Resource Management and Employment Relations,Semester 2 - 2020 (Central Coast)Semester 2 - 2020 (Newcastle City),10 units
IRHR3035,Managing Diversity,Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City),10 units
IRHR3040,Negotiation and Advocacy,Semester 2 - 2020 (Newcastle City),10 units
IRHR3510,Human Resource Development,Semester 1 - 2020 (Central Coast)Semester 1 - 2020 (Newcastle City),10 units
IRHR3540,International Human Resource Management,Semester 2 - 2020 (Central Coast)Semester 2 - 2020 (Newcastle City)Trimester 1 - 2020 (Singapore)Trimester 2 - 2020 (Singapore)Trimester 3 - 2020 (Singapore),10 units
IRHR4000,Theory in Human Resource Management,Semester 1 - 2020 (Newcastle City),20 units
Back to top,Back to top,Back to top,Back to top
JAPN1110,Elementary Japanese 1,Semester 1 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
JAPN1120,Elementary Japanese 2,Semester 2 - 2020 (Callaghan)Semester 1 - 2020 (Online)Semester 2 - 2020 (Online),10 units
JAPN2111,Intermediate Japanese 1,Semester 1 - 2020 (Callaghan),10 units
JAPN2112,Intermediate Japanese 2,Semester 2 - 2020 (Callaghan),10 units
JAPN2410,Japanese Society and The World,Not currently offered,10 units
JAPN2420,Japanese Culture and Identity,Not currently offered,10 units
JAPN2501,Japanese in Context I,Semester 1 - 2020 (Online),10 units
JAPN2502,Japanese in Context II,Semester 2 - 2020 (Online),10 units
JAPN3101,Advanced Integrated Japanese I,Semester 1 - 2020 (Callaghan),10 units
JAPN3102,Advanced Integrated Japanese II,Semester 2 - 2020 (Callaghan),10 units
JAPN3103,Japanese Society in Transition,Semester 2 - 2020 (Callaghan),10 units
JAPN3110,Advanced Spoken Japanese I,Not currently offered,10 units
JAPN3120,Advanced Spoken Japanese II,Not currently offered,10 units
JAPN3210,Advanced Written Japanese I,Not currently offered,10 units
JAPN3220,Advanced Written Japanese II,Not currently offered,10 units
JAPN3702,Contemporary Japanese Literature,Semester 1 - 2020 (Callaghan),10 units
JAPN4150,Japanese Honours I,Semester 1 - 2020 (Callaghan),20 units
JAPN4160,Japanese Honours II,Semester 1 - 2020 (Callaghan),20 units
JAPN4170,Japanese Honours III,Semester 2 - 2020 (Callaghan),20 units
JAPN4180,Japanese Honours IV,Semester 2 - 2020 (Callaghan),20 units
Back to top,Back to top,Back to top,Back to top
LATN1000,Introduction to Classical Grammar,Not currently offered,10 units
LATN1010,Elementary Latin:1,Not currently offered,10 units
LATN2501,Intermediate Latin I,Not currently offered,10 units
LATN2502,Intermediate Latin II,Not currently offered,10 units
LATN3520,Advanced Latin A,Not currently offered,20 units
LATN3530,Advanced Latin B,Not currently offered,20 units
LATN3540,Advanced Latin C,Not currently offered,20 units
LATN3550,Advanced Latin D,Not currently offered,20 units
Back to top,Back to top,Back to top,Back to top
LAWS1010,Legal System and Method I,Semester 1 - 2020 (Newcastle City),10 units
LAWS1011,Legal System and Method II,Semester 2 - 2020 (Newcastle City),10 units
LAWS1020,Torts I,Semester 1 - 2020 (Newcastle City),10 units
LAWS1021,Torts II,Semester 2 - 2020 (Newcastle City),10 units
LAWS2030,Criminal Law and Procedure,Semester 2 - 2020 (Newcastle City),10 units
LAWS3040,Contracts I,Semester 1 - 2020 (Newcastle City),10 units
LAWS3041,Contracts II,Semester 2 - 2020 (Newcastle City),10 units
LAWS4001,Constitutional Law,Semester 1 - 2020 (Newcastle City),10 units
LAWS4002,Administrative Law,Semester 2 - 2020 (Newcastle City),10 units
LAWS4003,Civil Dispute Resolution,Semester 1 - 2020 (Newcastle City),10 units
LAWS4004,Evidence,Semester 1 - 2020 (Newcastle City),10 units
LAWS4005,Company Law,Semester 2 - 2020 (Newcastle City),10 units
LAWS4007,Professional Conduct,Semester 1 - 2020 (Newcastle City),10 units
LAWS4010,Equity and Trusts,Semester 1 - 2020 (Newcastle City),10 units
